cluster_id,canonical_name,canon_id,basis,flag,death,tabaqa,n_entries,n_books,books,variant_names,members
17717,جعفر بن الزبير بن العوام القرشي الأسدي، مديني (4) عن ابن الزبير، روى عنه ابن أبي ذئب وأم عروة,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن الزبير بن العوام القرشي الأسدي، مديني (4) عن ابن الزبير، روى عنه ابن أبي ذئب وأم عروة,tarikh_kabir_bukhari:
17718,جعفر بن زيد بن صحار، </span>روى عنه أبو إسحاق الهمداني، منقطع، وصحار المعروف أيضا عبدي، قال لي على بن نصر حدثنا,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن زيد بن صحار، </span>روى عنه أبو إسحاق الهمداني، منقطع، وصحار المعروف أيضا عبدي، قال لي على بن نصر حدثنا,tarikh_kabir_bukhari:
17719,جعفر بن زيد (5) ، سمع أنسا، روى عنه سلام بن مسكين (6) وروى معتمر عن ليث عن زيد عن جعفر العبدي عن النبي صلى الله عليه وسلم، مرسل، وقال ابن المبارك حدثنا المستلم بن سعيد الواسطي سمع حماد بن جعفر بن زيد (7) سمع اباه: كنا مع صلة ابن اشيم,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن زيد (5) ، سمع أنسا، روى عنه سلام بن مسكين (6) وروى معتمر عن ليث عن زيد عن جعفر العبدي عن النبي صلى الله عليه وسلم، مرسل، وقال ابن المبارك حدثنا المستلم بن سعيد الواسطي سمع حماد بن جعفر بن زيد (7) سمع اباه: كنا مع صلة ابن اشيم,tarikh_kabir_bukhari:
17720,جعفر بن زياد الأحمر أبو عبد الله الكوفي، عن بيان ومنصور قال أبو نعيم: مات سنة سبع وستين ومائة، روى عنه ابن عيينة ومالك بن إسماعيل، كناه وكيع,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن زياد الأحمر أبو عبد الله الكوفي، عن بيان ومنصور قال أبو نعيم: مات سنة سبع وستين ومائة، روى عنه ابن عيينة ومالك بن إسماعيل، كناه وكيع,tarikh_kabir_bukhari:
17721,جعفر بن الزبير الشامي، عن القاسم تركوه,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن الزبير الشامي، عن القاسم تركوه,tarikh_kabir_bukhari:
17722,جعفر بن سليمان الحرشي البصري وكان ينزل بني ضبيعة سمع ثابتا ومالك بن دينار، وقال لي عبد الله بن أبي الأسود: مات سنة سبع وسبعين (2) ومائة، روى عنه ابن المبارك وقال أبو قدامة حدثنا عبد الرحمن: عن أبي سليمان جعفر، قال عبد الله: يخالف في بعض حديثه,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن سليمان الحرشي البصري وكان ينزل بني ضبيعة سمع ثابتا ومالك بن دينار، وقال لي عبد الله بن أبي الأسود: مات سنة سبع وسبعين (2) ومائة، روى عنه ابن المبارك وقال أبو قدامة حدثنا عبد الرحمن: عن أبي سليمان جعفر، قال عبد الله: يخالف في بعض حديثه,tarikh_kabir_bukhari:
17724,جعفر بن سعد بن عبيد الله الكاهلي، عن أبيه وعن سلام الكاهلي، روى عنه عبد الجبار بن عباس ومروان بن معاوية,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن سعد بن عبيد الله الكاهلي، عن أبيه وعن سلام الكاهلي، روى عنه عبد الجبار بن عباس ومروان بن معاوية,tarikh_kabir_bukhari:
17725,جعفر بن سلمة أبو سعيد البصري، سمع حماد بن سلمة سمع منه هلال بن بشر,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن سلمة أبو سعيد البصري، سمع حماد بن سلمة سمع منه هلال بن بشر,tarikh_kabir_bukhari:
17726,جعفر بن طلق بن زيد (4) العبدي البصري، قال نصر بن علي حدثنا عباس بن جعفر بن طلق بن زيد العبدي البصري: عن أبيه عن جده عن علي - وقد سمع منه - أن النبي صلى الله عليه وسلم زوجه فاطمة,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن طلق بن زيد (4) العبدي البصري، قال نصر بن علي حدثنا عباس بن جعفر بن طلق بن زيد العبدي البصري: عن أبيه عن جده عن علي - وقد سمع منه - أن النبي صلى الله عليه وسلم زوجه فاطمة,tarikh_kabir_bukhari:
17727,جعفر بن عمرو,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن عمرو,tarikh_kabir_bukhari:
