name_norm,display_name,n_books,n_entries,source_types,books,pages
احمد بن ابي القاسم بن سنبله البغدادي,أحمد بن أبي القاسم بن سنبلة (1) البغدادي,3,3,ikhtilāṭ; jarḥ (ḍuʿafāʾ),ightibat_sibt_ibnajami; kawakib_nayyirat; mughni_duafa_dhahabi,kawakib_nayyirat:ج1/ص98
بشر بن الوليد الكندي الفقيه,بشر بن الوليد الكندي الفقيه,3,3,general/jarḥ+taʿdīl; ikhtilāṭ,ightibat_sibt_ibnajami; kawakib_nayyirat; lisan_mizan_ibnhajar,kawakib_nayyirat:ج1/ص110
عبد الله بن واقد ابو قتاده الحراني,عبد الله بن واقد أبو قتادة الحراني,3,3,ikhtilāṭ; tadlīs,ightibat_sibt_ibnajami; kawakib_nayyirat; tabaqat_mudallisin_ibnhajar,kawakib_nayyirat:ج1/ص362
محمد بن زهير ابو يعلي الابلي,محمد بن زهير أبو يعلى الأبلى,3,3,general/jarḥ+taʿdīl; ikhtilāṭ,ightibat_sibt_ibnajami; kawakib_nayyirat; lisan_mizan_ibnhajar,kawakib_nayyirat:ج1/ص418
ابراهيم بن ابي بكر بن المنكدر,إبراهيم بن أبي بكر بن المنكدر,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,duafa_uqayli:ج1/ص46
ابراهيم بن حرب العسقلاني,إبراهيم بن حرب العسقلاني,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,duafa_uqayli:ج1/ص51
ابراهيم بن العلا ابو هارون الغنوي,إبراهيم بن العلاء أبو هارون الغنوي.</span>,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
ابراهيم بن عمر بن ابان,977 إبراهيم بن عمر بن أبان,3,3,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tarikh_kabir_bukhari,
احمد بن الخليل النوفلي القومسي,أحمد بن الخليل النوفلي القومسي,3,3,biography; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; siyar_dhahabi,
احمد بن علي بن سلمان ابو بكر المروزي,أحمد بن علي بن سلمان أبو بكر المروزي,3,3,general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; lisan_mizan_ibnhajar; mughni_duafa_dhahabi,
اسد بن وداعه,أسد بن وداعة,3,3,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tabaqat_ibnsad,
