name_norm,display_name,n_books,n_entries,source_types,books,pages
عبد الله بن ابي مطرف له صحبه ولم يصح اسناده,عبد الله بن أبي مطرف [له صحبه (5) ] ولم يصح إسناده,1,1,general,tarikh_kabir_bukhari,
عبد الله بن عمير ، روي عنه وقدان,عبد الله بن عمير (6) ، روى عنه وقدان,1,1,general,tarikh_kabir_bukhari,
عبد الله بن قرط الازدي ويقال الثمالي، له صحبه,عبد الله بن قرط الأزدي ويقال الثمالي، له صحبه,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص34
عبد الله بن جراد، له صحبه,عبد الله بن جراد، له صحبه,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ثعلبه بن صعير العذري، حليف بني زهره,عبد الله بن ثعلبة بن صعير العذري، حليف بنى زهرة,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص35
عبد الله الخولاني والد ابي ادريس، له صحبه، سمع منه ابو ادريس ابنه ، قاله اسمعيل بن عياش عن محمد بن عطيه عن عبد الله ابن ابي زينب عن ابي ادريس,عبد الله الخولاني (4) والد أبي إدريس، له صحبه، سمع منه أبو إدريس ابنه (5) ، قاله اسمعيل بن عياش عن محمد بن عطية عن (6) عبد الله ابن ابى زينب (6) عن ابى ادريس,1,1,general,tarikh_kabir_bukhari,
عبد الله اليشكري والد مغيره، قاله وكيع عن عمرو بن حسان,عبد الله اليشكري والد مغيرة، قاله وكيع عن عمرو بن حسان,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص38
عبد الله بن عكيم الجهني، ادرك زمان النبي عليه الصلاه والسلام، ولا يعرف له سماع صحيح,عبد الله بن عكيم الجهني، أدرك زمان النبي عليه الصلاة والسلام، ولا يعرف له سماع صحيح,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ثابت عن النبي صلي الله عليه وسلم، قاله جابر عن الشعبي ولم يصح، وقال مجالد عن الشعبي عن جابر ان عمر رضي الله عنه جا بكتاب الي النبي صلي الله عليه وسلم,عبد الله بن ثابت عن النبي صلى الله عليه وسلم، قاله جابر عن الشعبي ولم يصح، وقال مجالد عن الشعبي عن جابر: ان عمر رضى الله عنه جاء بكتاب إلى النبي صلى الله عليه وسلم,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص39
عبد الله بن ابراهيم بن قارظ الزهري، سمع ابا هريره,عبد الله بن إبراهيم بن قارظ الزهري، سمع أبا هريرة,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص40
عبد الله بن ابراهيم بن عمر بن كيسان، سمع اباه، سمع منه علي ، وهو الصنعاني، وكنيته ابو يزيد وكنيه كيسان ابو يزيد، ويروي ايضا عن عبد الله بن بوذويه,عبد الله بن إبراهيم بن عمر بن كيسان، سمع أباه، سمع منه علي (2) ، وهو الصنعاني، وكنيته أبو يزيد وكنية كيسان أبو يزيد، ويروي أيضا عن عبد الله بن بوذويه,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابراهيم بن عبد الرحمن مولي ام حبيبه عن جميله مولاه ام حبيبه، روي موسي بن اسمعيل عن محمد بن راشد,عبد الله بن إبراهيم بن عبد الرحمن مولى أم حبيبة عن جميلة مولاة ام حبيبة، روى موسى بن اسمعيل عن محمد بن راشد,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابراهيم القرشي عن مولي لهم سمع جابر بن عبد الله قوله في الضبع، قاله حبان، سمع وهيبا، سمع ايوب عنه,عبد الله بن إبراهيم القرشي عن مولى لهم (5) سمع جابر بن عبد الله قوله (5) في الضبع، قاله حبان، سمع (6) وهيبا، سمع ايوب (6) عنه,1,1,general,tarikh_kabir_bukhari,
عبد الله بن انس بن مالك الانصاري، روي عنه يزيد الرشك,عبد الله بن أنس بن مالك الأنصاري، روى عنه يزيد الرشك,1,1,general,tarikh_kabir_bukhari,
عبد الله بن الاشج راي ابن عباس يهل حتي رمي الجمره ، روي عنه ابنه بكير، قال بكير و حدثني عطا بن يسار عن ابن عباس مثله، قاله يحيي بن سليمان عن ابن وهب قال اخبرني عمرو ان بكيرا حدثه,عبد الله بن الأشج رأى ابن عباس يهل حتى رمى الجمرة (1) ، روى عنه ابنه بكير، قال بكير و (2) حدثنى عطاء بن يسار (2) عن ابن عباس مثله، قاله يحيى بن سليمان عن ابن وهب قال اخبرني عمرو أن بكيرا حدثه,1,1,general,tarikh_kabir_bukhari,
عبد الله بن الاغر قال ابن مسعود في القصص قاله علي بن نصر حدثنا ابن داود عن علي بن صالح عن ابي اسحاق,عبد الله بن الأغر قال ابن مسعود [في (3) ] القصص (4) قاله (5) علي بن نصر حدثنا ابن داود عن علي بن صالح (5) عن أبي إسحاق,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابان بن عثمان بن عفان القرشي الاموي، روي محمد بن اسحاق عن ابي بكر بن حزم اراه اخا عبد الرحمن وعمر,عبد الله بن أبان بن عثمان بن عفان القرشي الأموي، (6) روى محمد بن إسحاق (6) عن أبي بكر بن حزم أراه أخا عبد الرحمن وعمر,1,1,general,tarikh_kabir_bukhari,
عبد الله ابن اياس ابن ابي مريم الحنفي عن ابيه سمع عثمان قوله، روي عنه حماد بن سلمه,عبد الله ابن (7) اياس ابن أبي مريم الحنفي (7) عن أبيه سمع عثمان قوله، روى عنه حماد بن سلمة,1,1,general,tarikh_kabir_bukhari,
عبد الله بن اوس الخزاعي عن بريده ، روي عنه اسمعيل,عبد الله بن أوس الخزاعي عن بريدة (8) ، روى عنه اسمعيل,1,1,general,tarikh_kabir_bukhari,
عبد الله بن اسحاق بن حازم عن انس بن مالك، روي عنه ربيع بن خطاب,عبد الله بن إسحاق بن حازم عن أنس بن / مالك، روى عنه ربيع بن خطاب,1,1,general,tarikh_kabir_bukhari,
عبد الله بن اسحاق عن محمد بن كعب القرظي سمع ابن عمر قوله، قاله ابن ابي الاسود عن حميد عن قدامه بن موسي,عبد الله بن إسحاق عن محمد بن كعب القرظي سمع ابن عمر قوله، قاله (2) ابن ابى الاسود عن حميد (2) عن قدامة بن موسى,1,1,general,tarikh_kabir_bukhari,
عبد الله بن اسحاق بن محمد الزهري البصري سالت سالما يعني ابن عبد الله فقال ليس لوالد ولا لوالده ان يرتجع الفرج اذا اصيب ، قاله موسي بن اسمعيل,عبد الله بن إسحاق بن محمد الزهري البصري سألت سالما يعني ابن عبد الله فقال: ليس لوالد ولا لوالدة أن يرتجع (3) الفرج إذا أصيب (3) ، قاله موسى بن اسمعيل,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي اسحاق النحوي اخو يحيي الحضرمي البصري، سمع منه عثمان بن مرجعه قوله، قال يعقوب بن زيد بن,عبد الله بن أبي إسحاق النحوي أخو يحيى الحضرمي البصري، (4) سمع منه عثمان بن مرجعة (4) قوله، قال (5) يعقوب بن زيد بن,1,1,general,tarikh_kabir_bukhari,
عبد الله بن اسمعيل بن عبد الرحمن السدي عن ابيه عن النبي عليه الصلاه والسلام، مرسل، قاله اسود بن عامر حدثنا سعيد بن زيد اخو حماد بن زيد,عبد الله بن اسمعيل بن عبد الرحمن السدي (3) عن أبيه عن النبي عليه الصلاة والسلام، مرسل، قاله أسود بن عامر حدثنا سعيد بن زيد أخو حماد بن زيد,1,1,general,tarikh_kabir_bukhari,
عبد الله بن اسمعيل حدثنا ابن ابي خالد سمع منه ابو كريب,عبد الله بن اسمعيل حدثنا ابن أبي خالد (4) سمع منه أبو كريب,1,1,general,tarikh_kabir_bukhari,
عبد الله بن اميه بن ابي عثمان بن عبد الله بن خالد بن اسيد، يعد في اهل الحجاز، قال ابو عاصم حدثنا عبد الله بن اميه بن خالد بن اسيد حدثنا محمد بن يحيي عن صفوان بن يعلي,عبد الله بن أمية بن أبي عثمان بن عبد الله بن خالد بن أسيد، يعد في أهل الحجاز، قال أبو عاصم حدثنا عبد الله بن أمية بن خالد بن أسيد: حدثنا محمد بن يحيى عن صفوان بن يعلى,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي اميه ، سمع الحارث بن عبد الله بن ابي ربيعه,عبد الله (6) بن أبي أمية (6) ، سمع الحارث بن عبد الله بن أبي ربيعة,1,1,general,tarikh_kabir_bukhari,
عبد الله بن الاسود القرشي عن عامر بن عبد الله بن الزبير، سمع منه عبد الله بن وهب,عبد الله بن الأسود القرشي عن عامر بن عبد الله بن الزبير، سمع منه عبد الله بن وهب,1,1,general,tarikh_kabir_bukhari,
عبد الله بن الاجلح بن عبد الله بن حجيه الكندي الكوفي، سمع اباه,عبد الله بن الأجلح بن عبد الله بن حجية الكندي الكوفي، سمع أباه,1,1,general,tarikh_kabir_bukhari,
عبد الله بن انيس عن امه وهي بنت كعب بن مالك خرج النبي عليه الصلاه والسلام علي كعب بن مالك وهو ينشد، قاله ابن وهب عن عمرو بن الحارث عن يحيي بن سعيد ان عبد الله بن انيس حدثه,عبد الله بن أنيس (1) عن أمه وهي بنت كعب بن مالك: خرج النبي عليه الصلاة والسلام على كعب بن مالك وهو ينشد، قاله ابن وهب (2) عن عمرو بن الحارث (2) عن يحيى بن سعيد أن عبد الله بن أنيس حدثه,1,1,general,tarikh_kabir_bukhari,
عبد الله بن انسان عن عروه بن الزبير عن ابيه، روي عنه ابنه محمد، لم يصح حديثه,عبد الله بن إنسان (3) عن عروة بن الزبير عن أبيه، روى عنه ابنه محمد، لم يصح حديثه,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ازهر,عبد الله بن أزهر,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي امامه بن ثعلبه الانصاري عن ابيه، روي عنه ابنه المنيب الحارثي المديني,عبد الله (5) بن أبي أمامة (5) بن ثعلبة الأنصاري عن أبيه، روى عنه ابنه المنيب الحارثي المديني,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي امامه ابو رمله,عبد الله بن أبي أمامة أبو رملة,1,1,general,tarikh_kabir_bukhari,
عبد الله بن الاحزم عن ابيه، حديثه في الكوفيين,عبد الله بن الاحزم (6) عن ابيه، حديثه في الكوفيين,1,1,general,tarikh_kabir_bukhari,
عبد الله بن الاحوص احد بني عبد شمس ان اباه طلق فمات فحاضت الثالثه فقال زيد بن ثابت حلت فقضي به معاويه، قاله عبد العزيز بن عبد الله عن ابي الزناد عن ابيه عن سليمان بن يسار عن عبد الله، وقال بشر بن شعيب عن ابيه عن الزهري قال واخبرني منصور ابن عبد الله بن الاحوص ان عبد الله بن الاحوص توفي فذكر عن زيد ومعاويه نحوه، وقال اسمعيل عن مالك عن نافع عن سليمان بن يسار ان الاحوص هلك بالشام، وقال عبد الله بن صالح عن الليث عن نافع ان سليمان اخبره ان ابن الاحوص وقال ابن مهدي وقبيصه عن سفيان عن ابي الزناد عن سليمان بن يسار عن زيد، مختصر,عبد الله بن الأحوص (1) أحد بني عبد شمس أن أباه طلق فمات فحاضت الثالثة (2) فقال زيد بن ثابت: حلت فقضى به معاوية، قاله عبد العزيز بن عبد الله عن أبي الزناد عن أبيه عن سليمان بن يسار عن عبد الله، وقال بشر بن شعيب عن أبيه عن الزهري قال وأخبرني منصور ابن عبد الله بن الأحوص أن عبد الله بن الأحوص توفي فذكر عن زيد ومعاوية نحوه، وقال (3) اسمعيل عن مالك (3) عن نافع عن سليمان بن يسار: أن الأحوص هلك بالشام، وقال (4) عبد الله بن صالح (4) عن الليث عن نافع أن سليمان أخبره [أن ابن الأحوص (5) ] وقال ابن مهدي وقبيصة عن سفيان عن أبي الزناد عن سليمان بن يسار عن زيد، مختصر,1,1,general,tarikh_kabir_bukhari,
عبد الله بن الاشعث بن سوار عن ابيه، منقطع، روي عنه جعفر بن عون,عبد الله بن الأشعث بن سوار عن أبيه، منقطع، روى عنه جعفر بن عون,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ادريس بن يزيد بن عبد الرحمن الاودي الكوفي، سمع اباه والشيباني ومالك بن انس، قال علي روي معن عن مالك عن عبد الله بن ادريس حديثا، وقال محمد بن المثني مات سنه ثنتين وتسعين ومايه وكنيته ابو محمد، قال احمد ولد سنه خمس عشره ومايه,عبد الله بن إدريس بن يزيد بن عبد الرحمن الأودي الكوفي، سمع أباه والشيباني ومالك بن أنس، قال على: روى معن عن مالك عن عبد الله بن إدريس حديثا، وقال محمد بن المثنى: مات سنة ثنتين وتسعين ومائة وكنيته أبو محمد، قال (1) أحمد: ولد سنة خمس عشرة ومائة,1,1,general,tarikh_kabir_bukhari,
عبد الله بن اسمعيل البنبلي وابن اخي عمرو بن دينار مولي ابن باذان عن عمرو، روي عنه ابن عيينه,عبد الله بن اسمعيل البنبلي (2) وابن أخي عمرو بن دينار مولى ابن باذان عن عمرو، روى عنه ابن عيينة,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي الاشعث، سمع مكحولا، مرسل، قاله ضمره عن رجا بن ابي سلمه,عبد الله بن أبي الأشعث، سمع مكحولا، مرسل، قاله (3) ضمرة عن رجاء بن أبي سلمة,1,1,general,tarikh_kabir_bukhari,
عبد الله بن الاهتم,عبد الله بن الأهتم,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص47
عبد الله بن باباه مولي ال حجير بن ابي اهاب المكي، ويقال ابن بابي، سمع جبير بن مطعم، روي عنه ابو الزبير وابن ابي نجيح، نسبه محمد بن اسحاق، وسمع عبد الله بن عمرو، روي عنه عمرو بن دينار,عبد الله بن باباه مولى آل حجير بن أبي إهاب المكي، ويقال ابن بابي، سمع جبير بن مطعم، روى عنه أبو الزبير وابن أبي نجيح، نسبه محمد بن إسحاق، وسمع عبد الله بن عمرو، روى عنه عمرو بن دينار,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بسر وليس المازني الحبراني عن عبد الله بن بسر المازني وابي راشد الحبراني الشامي، روي عنه ابو عبيده الحداد، وروي محمد بن حمران عن عبد الله بن بسر ابي سعيد السكسكي عن ابي كبشه الانماري، قال يحيي رايته وليس بشي، عمرو بن علي حدثنا صفوان بن عيسي حدثنا عبد الله ابي اياس عن خالد بن معدان سمع ابا امامه كان النبي عليه الصلاه والسلام يدعو عند رفع الموايد، قال عمرو هو عبد الله بن بسر اهاب ان يكون هو الاول,عبد الله بن بسر وليس المازني الحبراني عن عبد الله بن بسر المازني وأبي راشد الحبراني الشامي، روى عنه أبو عبيدة الحداد، وروى محمد بن حمران (2) عن عبد الله بن بسر أبي سعيد السكسكي عن أبي كبشة الأنماري، قال يحيى: رأيته وليس بشئ، عمرو بن علي / حدثنا صفوان بن عيسى حدثنا عبد الله أبي إياس عن خالد بن معدان (3) سمع أبا أمامة كان النبي عليه الصلاة والسلام يدعو عند رفع الموائد، قال عمرو: هو عبد الله بن بسر إهاب (4) أن يكون هو الاول,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بشر الهلالي الكوفي، سمع ابن مسعود، قاله حسين بن حريث عن مروان سمع فرات بن الاحنف عن ابيه، وقال عبده حدثنا فرات عن ابيه عن عبد الله بن بشر,عبد الله بن بشر الهلالي الكوفي، سمع ابن مسعود، قاله حسين بن حريث عن مروان سمع فرات بن الأحنف عن أبيه، وقال عبدة حدثنا فرات عن أبيه عن عبد الله بن بشر,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بشر عن الزهري والاعمش، سمع منه معتمر بن سليمان,عبد الله بن بشر عن الزهري والأعمش، سمع منه (2) معتمر بن سليمان,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بحير اليماني عن هاني مولي عثمان، سمع,عبد الله بن بحير اليماني (3) عن هانئ مولى عثمان، سمع,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بدر بن عميره بن الحارث بن شمر الحنفي اليمامي جد ملازم عن عبد الرحمن بن علي و سمع ابن عمر وقيس بن طلق، سمع منه ملازم وجهضم,عبد الله بن بدر بن عميرة بن الحارث بن شمر (2) الحنفي اليمامي جد ملازم عن عبد الرحمن بن على [و (3) ] سمع ابن عمر وقيس بن طلق، سمع منه ملازم وجهضم,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بولي، روي عنه ابو حازم سلمه، ويقال ابن تولي,عبد الله بن بولى، روى عنه أبو حازم سلمة، ويقال ابن تولى,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي بصير العبدي,عبد الله بن أبي بصير العبدي,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص50
عبد الله بن بريده بن حصيب الاسلمي قاضي مرو عن ابيه سمع سمره ومن عمران بن الحصين,عبد الله بن بريدة بن حصيب الأسلمي قاضي مرو عن أبيه (3) سمع سمرة ومن عمران بن الحصين,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص51
عبد الله بن بجير التيمي ، سمع الحسن وسيارا مولي بني اميه ، سمع منه موسي بن اسمعيل، وكنيته ابو حمران القيسي البصري، وقال ابن المبارك التيمي يعد في البصريين,عبد الله بن بجير التيمي (1) ، سمع الحسن وسيارا مولى بني أمية (2) ، سمع منه موسى بن اسمعيل، وكنيته أبو حمران القيسي البصري، وقال ابن المبارك: التيمي يعد في البصريين,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بوذويه ، روي عنه عبد الله بن ابراهيم بن عمر قال اني مقاتل اخبرنا عبد الله بن ابراهيم بن عمر سمع عبد الله ابن بوذويه لم ير البيت بغير طايف الا يوم مات المغيره بن حكيم,عبد الله بن بوذويه (3) ، (4) روى عنه عبد الله بن إبراهيم بن عمر [قال أني مقاتل] (4) أخبرنا عبد الله بن إبراهيم بن عمر (5) سمع عبد الله ابن بوذويه: لم ير البيت بغير طائف إلا يوم مات المغيرة بن حكيم,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بكر بن عبد الله المزني عن الحسن، سمع منه موسي بن اسمعيل,عبد الله بن بكر بن عبد الله المزني عن الحسن، سمع منه موسى بن اسمعيل,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بكر السهمي الباهلي ابن حبيب ابو وهب البصري، سمع حميدا وحاتم بن ابي صغيره، يقال مات سنه ثمان وماتين ليله الثلاثا لثلاث عشره بقيت من المحرم ببغداد,عبد الله بن بكر السهمي الباهلي ابن حبيب أبو وهب البصري، سمع حميدا وحاتم بن أبي صغيرة، يقال مات سنة ثمان ومأتين ليلة الثلاثاء لثلاث عشرة بقيت من المحرم ببغداد,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بكير، سمع حكيم بن جبير وجهم بن دينار، سمع منه ابو نعيم وابن مهدي، هو الغنوي، عباد بن يعقوب قال لي عبد الله ابن بكير انا نخعي لست انا غنويا ومنزله في غني وكان يومهم,عبد الله بن بكير، سمع حكيم بن جبير وجهم بن دينار، سمع منه أبو نعيم وابن مهدي، هو الغنوي، عباد بن يعقوب قال لى عبد الله ابن بكير: أنا نخعي لست [أنا (1) ] غنويا (2) ومنزله في غنى وكان يؤمهم,1,1,general,tarikh_kabir_bukhari,
عبد الله ابو بكر الحنفي ، قال موسي بن اسمعيل عن عبيد الله بن شميط عن عبد الله,عبد الله أبو بكر الحنفي (3) ، قال موسى بن اسمعيل عن عبيد الله (4) بن شميط عن عبد الله,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي بكر معاذ بن معن بن عبد الرحمن بن,عبد الله بن أبي بكر معاذ بن معن بن عبد الرحمن بن,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي بكر بن زيد بن مهاجر عن مسلم بن ابي سهل ، روي عنه موسي بن يعقوب,عبد الله بن أبي بكر بن زيد بن مهاجر عن (2) مسلم بن أبي سهل (2) ، روى عنه موسى بن يعقوب,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي بكر بن محمد بن عمرو بن حزم الانصاري المديني، سمع عروه بن الزبير والزهري وانس بن مالك، روي عنه الزهري ومالك بن انس والثوري، ويقال كنيته ابو محمد,/ عبد الله بن أبي بكر بن محمد بن عمرو بن حزم الأنصاري المديني، سمع عروة بن الزبير والزهري وأنس بن مالك، روى عنه الزهري ومالك بن أنس والثوري، ويقال كنيته أبو محمد,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي بكر بن عبد الله بن ابي احمد بن جحش,عبد الله بن أبي بكر بن عبد الله بن أبي أحمد بن جحش,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي بكر بن عبد الرحمن بن الحارث بن هشام المخزومي القرشي، سمع اميه بن عبد الله، قاله الليث وحسان بن ابراهيم عن يونس عن الزهري، و تابعه فليح بن سليمان، قال ابن وهب والزبيدي وعبد الملك بن ابي بكر، ولا يصح ، وقال معمر عبد الله بن ابي بكر عن عبد الرحمن بن اميه بن عبد الله، ولا يصح,عبد الله بن أبي بكر بن عبد الرحمن بن الحارث بن هشام المخزومي القرشي، سمع أمية بن عبد الله، قاله الليث وحسان بن إبراهيم عن يونس عن الزهري، و (2) تابعه فليح بن سليمان، قال ابن وهب والزبيدي: وعبد الملك بن ابى بكر، ولا يصح (2) ، وقال معمر: عبد الله بن أبي بكر عن عبد الرحمن بن أمية بن عبد الله، ولا يصح,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي بكر العتكي الازدي، سمع شعبه وهارون الاعور البصري,عبد الله بن أبي بكر العتكي الأزدي، سمع شعبة وهارون الأعور البصري,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي بلال الخزاعي عن عرباض بن ساريه رضي الله عنه، روي عند خالد بن معدان,عبد الله بن أبي بلال الخزاعي عن عرباض بن سارية رضي الله عنه، روى عند خالد بن معدان,1,1,general,tarikh_kabir_bukhari,
عبد الله البهي مولي مصعب بن الزبير بن العوام القرشي الاسدي، سمع ابن عمر وابن الزبير وعايشه رضي الله عنهم، روي عنه يزيد بن ابي زياد وابو اسحاق، نسبه مروان بن معاويه,عبد الله البهي (1) مولى مصعب بن الزبير [بن العوام (2) ] القرشي الأسدي، سمع ابن عمر وابن الزبير وعائشة رضى الله عنهم، روى عنه يزيد بن أبي زياد وأبو إسحاق، نسبه مروان بن معاوية,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بعجه بن عبد الله بن بدر الجهني، روي عنه ابنه علي,عبد الله بن بعجة (3) بن عبد الله بن بدر الجهني، روى عنه ابنه على,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بديل,عبد الله بن بديل,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بديل بن ورقا الخزاعي، سمع الزهري وعمرو بن دينار، قاله العقدي وابو داود الطيالسي وزيد بن حباب,عبد الله بن بديل بن ورقاء الخزاعي، سمع الزهري وعمرو بن دينار، (6) قاله العقدي (6) وأبو داود الطيالسي وزيد بن حباب,1,1,general,tarikh_kabir_bukhari,
عبد الله بن بديل قال اخبرني ابن عباس ان النبي صلي الله عليه وسلم امره ان يقرا في الصبح بالشمس وضحها والليل اذا يغشي، قاله احمد بن عيسي سمع ابن وهب عن حيوه قال اخبرني بكر بن عمرو قال قال ابو سعيد المكي سمع عبد الله بن بديل,عبد الله بن بديل قال (2) : أخبرني ابن عباس أن النبي صلى الله عليه وسلم أمره أن يقرأ في الصبح بالشمس وضحها والليل إذا يغشى، قاله أحمد بن عيسى سمع ابن وهب عن حيوة قال أخبرني بكر بن عمرو قال قال أبو سعيد المكي: سمع عبد الله بن بديل,1,1,general,tarikh_kabir_bukhari,
عبد الله بن براد، اراه ابن يوسف بن ابي برده بن ابي موسي ابو عامر الاشعري الكوفي، سمع ابن فضيل,عبد الله بن براد، أراه ابن يوسف بن أبي بردة بن أبي موسى أبو عامر الأشعري الكوفي، سمع ابن فضيل,1,1,general,tarikh_kabir_bukhari,
عبد الله بن تولي,عبد الله بن تولى,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص57
عبد الله بن تمام مولي ام حبيبه زوج النبي صلي الله عليه,عبد الله بن تمام مولى أم حبيبة زوج النبي صلى الله عليه,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ثعلبه الحضرمي، قال احمد بن محمد اخبرنا ابن المبارك قال اخبرنا عبد الرحمن بن شريح قال سمعت عبد الله بن ثعلبه الحضرمي يذكر انه سمع ابن حجيره الاكبر قايما يوم الجمعه يذكر انه سمع عقبه بن عامر عن النبي صلي الله عليه وسلم الغريق في سبيل الله شهيد,عبد الله بن ثعلبة الحضرمي، قال أحمد بن محمد أخبرنا ابن المبارك قال أخبرنا عبد الرحمن بن شريح قال سمعت عبد الله بن ثعلبة الحضرمي يذكر: أنه سمع ابن حجيرة الأكبر (2) قائما يوم الجمعة يذكر أنه سمع عقبة بن عامر عن النبي صلى الله عليه وسلم: الغريق في سبيل الله شهيد,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ثوب ابو مسلم الخولاني قاري اهل الشام,عبد الله بن ثوب أبو مسلم الخولاني قارئ أهل الشام (3),1,1,general,tarikh_kabir_bukhari,
عبد الله بن ثمامه,عبد الله بن ثمامة,1,1,general,tarikh_kabir_bukhari,
عبد الله بن جابر العبدي,عبد الله بن جابر العبدي,1,1,general,tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج5/ص59
عبد الله جابر بن عبد الله الانصاري السلمي، سمع اباه، روي عنه سعيد المقبري، هو اخو محمد وعمر,عبد الله جابر بن عبد الله الأنصاري السلمي، سمع أباه، روى عنه سعيد المقبري، هو أخو محمد وعمر,1,1,general,tarikh_kabir_bukhari,
عبد الله بن جابر الهمداني عن نوف الحميري قوله، روي عنه ابن ابي خالد,عبد الله بن جابر الهمداني عن نوف الحميري قوله، روى عنه ابن أبي خالد,1,1,general,tarikh_kabir_bukhari,
عبد الله بن جابر عن نافع والحسن، روي عنه الثوري، كنيته ابو حمزه ، منقطع,عبد الله بن جابر عن نافع والحسن، روى عنه الثوري، كنيته أبو حمزة (2) ، منقطع,1,1,general,tarikh_kabir_bukhari,
عبد الله بن جابر العبدي عن الضحاك والحسن، روي عنه اسحاق بن سليمان، هو الاول اراه ، قال ابن حجر حدثنا حكام عن ابي,عبد الله بن جابر العبدي عن الضحاك والحسن، روى عنه إسحاق بن سليمان، هو الأول أراه (3) ، قال ابن حجر حدثنا حكام عن أبي,1,1,general,tarikh_kabir_bukhari,
عبد الله بن جبير الخزاعي عن ابي الفيل ان النبي صلي الله عليه وسلم رجم، قاله محمد بن صباح عن الوليد بن ابي ثور عن سماك,عبد الله بن جبير الخزاعي عن أبي الفيل أن النبي صلى الله عليه وسلم رجم، قاله محمد بن صباح عن الوليد بن ابى ثور عن سماك,1,1,general,tarikh_kabir_bukhari,
عبد الله بن جبير بن حيه الثقفي عن شداد بن اوس ان كعبا ظل علي عمر حين طعن، قاله موسي بن اسمعيل عن حماد بن سلمه عن يوسف بن سعد، هو اخو زياد وعبيد الله,عبد الله بن جبير بن حية الثقفي عن شداد بن أوس أن كعبا ظل (1) على عمر حين طعن، قاله موسى بن اسمعيل عن حماد بن سلمة عن يوسف بن سعد، هو أخو زياد وعبيد الله,1,1,general,tarikh_kabir_bukhari,
عبد الله بن ابي الجعد اخو سالم وزياد وعبيد، يعد في الكوفيين، سمع جعيلا وعن ثوبان، روي عنه يزيد بن ابي داود وعبد الله بن عيسي، واسم ابي الجعد رافع مولي غطفان,عبد الله بن أبي الجعد أخو سالم وزياد وعبيد، يعد في الكوفيين، سمع جعيلا وعن ثوبان، روى عنه يزيد بن أبي داود وعبد الله بن عيسى، واسم أبي الجعد رافع مولى غطفان,1,1,general,tarikh_kabir_bukhari,
عبد الله بن جز البخاري، سمع رافع بن خديج، روي عنه ابنه يحيي,عبد الله بن جز (3) البخاري، سمع رافع بن خديج، روى عنه ابنه يحيى,1,1,general,tarikh_kabir_bukhari,
عبد الله بن الجزور عن قتاده قوله، روي عنه نوح ابن قيس,عبد الله بن الجزور (4) عن قتادة قوله، روى عنه نوح ابن قيس,1,1,general,tarikh_kabir_bukhari,
