display_name,name_norm,n_books,n_entries,source_types,books,pages
قبيصة بن حريث الأنصاري سمع سلمة بن المحبق,قبيصه بن حريث الانصاري سمع سلمه بن المحبق,2,2,general; jarḥ (ḍuʿafāʾ),duafa_uqayli; tarikh_kabir_bukhari,duafa_uqayli:ج3/ص484
مسلم بن الحارث,مسلم بن الحارث,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج9/ص423
مسلم بن يناق,مسلم بن يناق,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج8/ص37
معن بن يزيد,معن بن يزيد,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج8/ص159
مليح بن عبد الله,مليح بن عبد الله,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص249
هارون بن أبي زياد التميمي (8) عن ابن عمر,هارون بن ابي زياد التميمي عن ابن عمر,2,2,general; jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; tarikh_kabir_bukhari,
يحيى بن ايوب,يحيي بن ايوب,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج8/ص259 | tabaqat_ibnsad:ج9/ص360
يحيى بن عبيد,يحيي بن عبيد,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,
يحيى بن أبي كثير,يحيي بن ابي كثير,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج8/ص301 | tabaqat_ibnsad:ج8/ص116
يحيى بن يعلى,يحيي بن يعلي,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج8/ص533
يزيد بن أوس,يزيد بن اوس,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج6/ص68
يزيد بن أبي سعيد,يزيد بن ابي سعيد,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,
يعقوب بن زيد,يعقوب بن زيد,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص469
يعقوب بن إبراهيم,يعقوب بن ابراهيم,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,
يعلى بن مرة,يعلي بن مره,2,2,biography/ṭabaqāt; general,tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج8/ص163
أبو مرزوق التجيبي,ابو مرزوق التجيبي,2,2,general; jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; tarikh_kabir_bukhari,
إسحاق بن عبد الله بن أبي طلحة. عن,اسحاق بن عبد الله بن ابي طلحه عن,2,2,general (six-books); marāsīl/connection,jami_tahsil_alai; kashif_dhahabi,
جرير بن يزيد بن جرير بن عبد الله,جرير بن يزيد بن جرير بن عبد الله,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,kashif_dhahabi:ج1/ص291
الحسين بن عبد الله بن عبيد الله بن,الحسين بن عبد الله بن عبيد الله بن,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
الحكم بن عبد الرحمن بن أبي نعم البجلي,الحكم بن عبد الرحمن بن ابي نعم البجلي,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
حميد بن حماد بن أبي الخوار أبو الجهم,حميد بن حماد بن ابي الخوار ابو الجهم,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
زياد بن عبد الله عن عاصم بن محمد,زياد بن عبد الله عن عاصم بن محمد,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,kashif_dhahabi:ج1/ص411
سعد بن إبراهيم بن عبد الرحمن بن عوف,سعد بن ابراهيم بن عبد الرحمن بن عوف,2,2,general (six-books); marāsīl/connection,jami_tahsil_alai; kashif_dhahabi,
سيف بن سليمان - ويقال: ابن أبي سليمان,سيف بن سليمان ويقال ابن ابي سليمان,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_uqayli; kashif_dhahabi,kashif_dhahabi:ج1/ص475 | duafa_uqayli:ج2/ص173
شريك بن عبد الله أبو عبد الله النخعي,شريك بن عبد الله ابو عبد الله النخعي,2,2,biography; general (six-books),kashif_dhahabi; siyar_dhahabi,siyar_dhahabi:ج8/ص200
شريك بن عبد الله بن أبي نمر المدني,شريك بن عبد الله بن ابي نمر المدني,2,2,biography; general (six-books),kashif_dhahabi; siyar_dhahabi,siyar_dhahabi:ج6/ص159
شعيب بن محمد بن عبد الله بن عمرو,شعيب بن محمد بن عبد الله بن عمرو,2,2,general (six-books); marāsīl/connection,jami_tahsil_alai; kashif_dhahabi,
صالح بن محمد بن زائدة أبو واقد الليثي,صالح بن محمد بن زايده ابو واقد الليثي,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
طلحة بن زيد الرقي عن هشام بن عروة,طلحه بن زيد الرقي عن هشام بن عروه,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
طلحة بن عبد الله بن عبد الرحمن بن,طلحه بن عبد الله بن عبد الرحمن بن,2,2,general (six-books); marāsīl/connection,jami_tahsil_alai; kashif_dhahabi,
طلحة بن يحيى بن طلحة بن عبيد الله,طلحه بن يحيي بن طلحه بن عبيد الله,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
عاصم بن عمر بن قتادة بن النعمان الظفري,عاصم بن عمر بن قتاده بن النعمان الظفري,2,2,biography; general (six-books),kashif_dhahabi; siyar_dhahabi,siyar_dhahabi:ج5/ص240
عامر بن عبد الله بن مسعود أبو عبيدة,عامر بن عبد الله بن مسعود ابو عبيده,2,2,general (six-books); marāsīl/connection,jami_tahsil_alai; kashif_dhahabi,kashif_dhahabi:ج1/ص523
عباد بن كثير الثقفي البصري العابد بمكة عن,عباد بن كثير الثقفي البصري العابد بمكه عن,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
عباد بن كثير الرملي عن عبد الله بن,عباد بن كثير الرملي عن عبد الله بن,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
عبد الله بن أبي بكر بن زيد عن,عبد الله بن ابي بكر بن زيد عن,2,2,general (six-books); jarḥ (ḍuʿafāʾ),kashif_dhahabi; mughni_duafa_dhahabi,
عبد الله بن جعفر بن عبد الرحمن بن,عبد الله بن جعفر بن عبد الرحمن بن,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
عبد الله بن جعفر بن نجيح أبو جعفر,عبد الله بن جعفر بن نجيح ابو جعفر,2,2,general (six-books); jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; kashif_dhahabi,
